client_id,name,industry,size,onboarding_date,account_manager,status
1,Johnson LLC,Healthcare,Small,2024-02-27,Michael Rodriguez,Active
2,Taylor Inc Wealth,Finance,Medium,2020-06-27,Sarah Chen,Active
3,"Mcclain, Miller and Henderson",Technology,Medium,2021-03-23,Morgan Lee,Active
4,Robinson PLC Software,Technology,Large,2022-05-09,Morgan Lee,Active
5,Hoffman Ltd,Manufacturing,Small,2024-04-03,Alex Patel,Inactive
6,"Gardner, Robinson and Lawrence",Education,Large,2020-11-14,Jamie Taylor,Active
7,Wolfe LLC Wellness,Healthcare,Small,2020-07-17,Jamie Taylor,Active
8,Lewis LLC,Manufacturing,Small,2024-02-03,Sarah Chen,Active
9,James LLC Solar,Energy,Small,2021-08-23,Morgan Lee,Inactive
10,"Baker, Williams and Stevens",Education,Medium,2023-12-13,Michael Rodriguez,Active
11,Miller-Carter Industries,Manufacturing,Small,2024-11-09,Jamie Taylor,Active
12,"Mcclure, Ward and Lee",Media,Large,2020-11-29,Michael Rodriguez,Active
13,Stanley LLC Fabrication,Manufacturing,Small,2023-07-24,Michael Rodriguez,Active
14,Delacruz Group Banking,Finance,Enterprise,2021-07-06,Morgan Lee,Prospective
15,Reid-Diaz,Retail,Large,2024-09-22,Sarah Chen,Active
16,Clark-Adams,Retail,Small,2024-07-06,Jamie Taylor,Active
17,"Jones, Reid and Ferguson",Healthcare,Medium,2025-02-13,Jamie Taylor,Prospective
18,Ford LLC Shop,Retail,Enterprise,2024-12-16,Alex Patel,Prospective
19,"Hawkins, Cohen and Cameron",Finance,Enterprise,2020-10-12,Morgan Lee,Active
20,Underwood LLC Fabrication,Manufacturing,Enterprise,2022-03-28,Michael Rodriguez,Active
21,Jones-Gentry,Media,Small,2024-03-27,Sarah Chen,Active
22,"Edwards, Rios and Foster",Finance,Large,2024-06-10,Morgan Lee,Active
23,Thomas-Taylor,Healthcare,Enterprise,2022-02-20,Alex Patel,Active
24,"Ryan, Burgess and Patterson",Manufacturing,Small,2023-10-25,Morgan Lee,Inactive
25,Cox-Osborn,Manufacturing,Large,2020-08-16,Michael Rodriguez,Active
26,"Snyder, Campos and Callahan",Media,Small,2024-01-18,Jamie Taylor,Inactive
27,"Moore, Becker and Carlson",Finance,Medium,2024-11-17,Morgan Lee,Active
28,Carlson-Mcdonald,Retail,Medium,2022-02-04,Morgan Lee,Inactive
29,"Valencia, Smith and Le",Technology,Enterprise,2022-09-27,Jamie Taylor,Active
30,"Potter, Mack and Peterson",Manufacturing,Medium,2020-04-28,Morgan Lee,Active
