matter_id,client_id,name,type,practice_area,status,open_date,estimated_close_date,actual_close_date,estimated_value,actual_billed,collected_amount,complexity_score,responsible_partner
1,15,Inverse mobile task-force,Regulatory,Real Estate,Closed,2022-11-11,2023-07-12,2023-08-12,280995,233609,222688,1.6,Noah Elliott
2,3,Digitized interactive definition,Transactional,Litigation,Active,2023-07-16,2023-11-17,,931630,608178,443245,4.7,Kimberly Morris
3,27,Upgradable intermediate parallelism,Investigation,Banking,Pending,2024-11-05,2025-06-05,,243964,0,0,3.8,David Williams
4,16,Monitored methodical help-desk,Advisory,Employment,Active,2025-02-22,2026-07-15,,355826,182198,171228,4.9,Kimberly Morris
5,33,Right-sized local middleware,Litigation,Tax,Pending,2024-09-20,2025-10-07,,368860,0,0,3.6,Mary Jones
6,5,Sharable coherent structure,Litigation,Real Estate,Closed,2024-10-23,2026-03-30,2026-06-08,321289,282939,274477,2.8,David Williams
7,9,Cross-platform 5thgeneration software,Transactional,Bankruptcy,Closed,2024-12-22,2025-04-05,2025-04-28,189523,169505,155926,1.0,Crystal Watkins
8,12,Adaptive multi-state framework,Investigation,Intellectual Property,Active,2023-11-10,2024-04-09,,60725,36082,26043,3.2,Mary Jones
9,8,Robust web-enabled archive,Investigation,Employment,Active,2022-11-23,2023-09-28,,13175,5156,3965,2.7,Janet Nguyen
10,34,Reduced next generation architecture,Litigation,Tax,Pending,2024-08-10,2025-11-15,,212986,0,0,1.5,Janet Nguyen
11,21,Re-engineered leadingedge Graphical User Interface,Transactional,Banking,Active,2024-11-28,2025-05-13,,108132,87909,68582,1.4,Alyssa Morales
12,24,Upgradable tangible circuit,Investigation,Bankruptcy,On Hold,2024-06-15,2024-12-21,,497660,0,0,4.9,Tammy Mayer
13,31,Quality-focused demand-driven hierarchy,Litigation,Bankruptcy,Closed,2024-08-06,2025-06-18,2025-05-15,278190,344254,328214,2.3,Kimberly Morris
14,9,Function-based zero-defect pricing structure,Investigation,Corporate,On Hold,2025-02-01,2025-06-21,,183770,0,0,1.5,Noah Elliott
